id_enfermedad,id_region,fecha_fin_semana,casos_confirmados,defunciones,tasa_incidencia,riesgo_brote_target,fecha_carga
1,19,2000-04-30,1,0,0.016,0,2025-12-10
1,20,2000-04-30,1,0,0.0226,0,2025-12-10
1,28,2000-04-30,3,0,0.0815,0,2025-12-10
1,30,2000-04-30,1,0,0.0113,0,2025-12-10
1,7,2000-05-07,0,0,0.0,0,2025-12-10
1,12,2000-05-07,2,0,0.0537,0,2025-12-10
1,16,2000-05-07,0,0,0.0,0,2025-12-10
1,19,2000-05-07,0,0,0.0,0,2025-12-10
1,20,2000-05-07,1,0,0.0226,0,2025-12-10
1,23,2000-05-07,3,0,0.1508,0,2025-12-10
1,25,2000-05-07,0,0,0.0,0,2025-12-10
1,26,2000-05-07,1,0,0.0317,0,2025-12-10
1,28,2000-05-07,1,0,0.0272,0,2025-12-10
1,30,2000-05-07,2,0,0.0225,0,2025-12-10
1,7,2000-05-14,0,0,0.0,0,2025-12-10
1,12,2000-05-14,2,0,0.0537,0,2025-12-10
1,16,2000-05-14,0,0,0.0,0,2025-12-10
1,19,2000-05-14,0,0,0.0,0,2025-12-10
1,20,2000-05-14,1,0,0.0226,0,2025-12-10
1,23,2000-05-14,3,0,0.1508,0,2025-12-10
1,25,2000-05-14,0,0,0.0,0,2025-12-10
1,26,2000-05-14,1,0,0.0317,0,2025-12-10
1,28,2000-05-14,1,0,0.0272,0,2025-12-10
1,30,2000-05-14,2,0,0.0225,0,2025-12-10
1,7,2000-05-21,0,0,0.0,0,2025-12-10
1,12,2000-05-21,2,0,0.0537,0,2025-12-10
1,16,2000-05-21,0,0,0.0,0,2025-12-10
1,19,2000-05-21,0,0,0.0,0,2025-12-10
1,20,2000-05-21,1,0,0.0226,0,2025-12-10
1,23,2000-05-21,3,0,0.1508,0,2025-12-10
1,25,2000-05-21,0,0,0.0,0,2025-12-10
1,26,2000-05-21,1,0,0.0317,0,2025-12-10
1,28,2000-05-21,1,0,0.0272,0,2025-12-10
1,30,2000-05-21,2,0,0.0225,0,2025-12-10
1,7,2000-05-31,1,0,0.0167,0,2025-12-10
1,12,2000-05-31,0,0,0.0,0,2025-12-10
1,16,2000-05-31,2,0,0.0402,0,2025-12-10
1,19,2000-05-31,1,0,0.016,0,2025-12-10
1,20,2000-05-31,0,0,0.0,0,2025-12-10
1,23,2000-05-31,3,0,0.1508,0,2025-12-10
1,25,2000-05-31,1,0,0.0305,0,2025-12-10
1,26,2000-05-31,0,0,0.0,0,2025-12-10
1,28,2000-05-31,0,0,0.0,0,2025-12-10
1,30,2000-05-31,0,0,0.0,0,2025-12-10
1,6,2000-06-07,0,0,0.0,0,2025-12-10
1,7,2000-06-07,0,0,0.0,0,2025-12-10
1,16,2000-06-07,2,0,0.0402,0,2025-12-10
1,20,2000-06-07,3,0,0.0677,0,2025-12-10
1,23,2000-06-07,0,0,0.0,0,2025-12-10
1,26,2000-06-07,6,0,0.1902,0,2025-12-10
1,28,2000-06-07,0,0,0.0,0,2025-12-10
1,30,2000-06-07,13,0,0.1465,0,2025-12-10
1,6,2000-06-14,0,0,0.0,0,2025-12-10
1,7,2000-06-14,0,0,0.0,0,2025-12-10
1,16,2000-06-14,2,0,0.0402,0,2025-12-10
1,20,2000-06-14,3,0,0.0677,0,2025-12-10
1,23,2000-06-14,0,0,0.0,0,2025-12-10
1,26,2000-06-14,6,0,0.1902,0,2025-12-10
1,28,2000-06-14,0,0,0.0,0,2025-12-10
1,30,2000-06-14,13,0,0.1465,0,2025-12-10
1,6,2000-06-21,0,0,0.0,0,2025-12-10
1,7,2000-06-21,0,0,0.0,0,2025-12-10
1,16,2000-06-21,2,0,0.0402,0,2025-12-10
1,20,2000-06-21,3,0,0.0677,0,2025-12-10
1,23,2000-06-21,0,0,0.0,0,2025-12-10
1,26,2000-06-21,6,0,0.1902,0,2025-12-10
1,28,2000-06-21,0,0,0.0,0,2025-12-10
1,30,2000-06-21,13,0,0.1465,0,2025-12-10
1,6,2000-06-30,1,0,0.129,0,2025-12-10
