id_enfermedad,id_region,fecha_fin_semana,casos_confirmados,defunciones,tasa_incidencia,riesgo_brote_target,fecha_carga
1,7,2000-01-31,2,0,0.0444,0,2025-12-10
1,19,2000-01-31,1,0,0.0233,0,2025-12-10
1,20,2000-01-31,4,0,0.1143,0,2025-12-10
1,23,2000-01-31,2,0,0.1667,0,2025-12-10
1,28,2000-01-31,14,0,0.4667,0,2025-12-10
1,30,2000-01-31,8,0,0.1111,0,2025-12-10
1,7,2000-02-29,4,0,0.0889,0,2025-12-10
1,18,2000-02-29,1,0,0.1053,0,2025-12-10
1,20,2000-02-29,1,0,0.0286,0,2025-12-10
1,25,2000-02-29,3,0,0.1111,0,2025-12-10
1,28,2000-02-29,6,0,0.2,0,2025-12-10
1,30,2000-02-29,9,0,0.125,0,2025-12-10
1,7,2000-03-31,2,0,0.0444,0,2025-12-10
1,18,2000-03-31,1,0,0.1053,0,2025-12-10
1,21,2000-03-31,1,0,0.0185,0,2025-12-10
1,23,2000-03-31,1,0,0.0833,0,2025-12-10
1,25,2000-03-31,1,0,0.037,0,2025-12-10
1,28,2000-03-31,11,0,0.3667,0,2025-12-10
1,30,2000-03-31,9,0,0.125,0,2025-12-10
1,6,2000-04-30,1,0,0.1667,0,2025-12-10
1,7,2000-04-30,1,0,0.0222,0,2025-12-10
1,19,2000-04-30,1,0,0.0233,0,2025-12-10
1,20,2000-04-30,1,0,0.0286,0,2025-12-10
1,28,2000-04-30,9,0,0.3,0,2025-12-10
1,30,2000-04-30,7,0,0.0972,0,2025-12-10
1,7,2000-05-31,1,0,0.0222,0,2025-12-10
1,12,2000-05-31,6,0,0.1875,0,2025-12-10
1,16,2000-05-31,2,0,0.0476,0,2025-12-10
1,19,2000-05-31,1,0,0.0233,0,2025-12-10
1,20,2000-05-31,3,0,0.0857,0,2025-12-10
1,23,2000-05-31,12,0,1.0,0,2025-12-10
1,25,2000-05-31,1,0,0.037,0,2025-12-10
1,26,2000-05-31,3,0,0.12,0,2025-12-10
1,28,2000-05-31,3,0,0.1,0,2025-12-10
1,30,2000-05-31,6,0,0.0833,0,2025-12-10
1,6,2000-06-30,1,0,0.1667,0,2025-12-10
1,7,2000-06-30,2,0,0.0444,0,2025-12-10
1,16,2000-06-30,10,0,0.2381,0,2025-12-10
1,20,2000-06-30,11,0,0.3143,0,2025-12-10
1,23,2000-06-30,2,0,0.1667,0,2025-12-10
1,26,2000-06-30,22,0,0.88,0,2025-12-10
1,28,2000-06-30,1,0,0.0333,0,2025-12-10
1,30,2000-06-30,53,0,0.7361,0,2025-12-10
1,7,2000-07-31,2,0,0.0444,0,2025-12-10
1,20,2000-07-31,47,0,1.3429,0,2025-12-10
1,21,2000-07-31,3,0,0.0556,0,2025-12-10
1,26,2000-07-31,54,0,2.16,0,2025-12-10
1,30,2000-07-31,171,0,2.375,0,2025-12-10
1,7,2000-08-31,10,0,0.2222,0,2025-12-10
1,10,2000-08-31,1,0,0.0667,0,2025-12-10
1,12,2000-08-31,1,0,0.0312,0,2025-12-10
1,19,2000-08-31,10,0,0.2326,0,2025-12-10
1,20,2000-08-31,75,0,2.1429,0,2025-12-10
1,21,2000-08-31,32,0,0.5926,0,2025-12-10
1,26,2000-08-31,39,0,1.56,0,2025-12-10
1,28,2000-08-31,12,0,0.4,0,2025-12-10
1,30,2000-08-31,58,0,0.8056,0,2025-12-10
1,7,2000-09-30,37,0,0.8222,0,2025-12-10
1,12,2000-09-30,1,0,0.0312,0,2025-12-10
1,19,2000-09-30,3,0,0.0698,0,2025-12-10
1,20,2000-09-30,35,0,1.0,0,2025-12-10
1,21,2000-09-30,7,0,0.1296,0,2025-12-10
1,26,2000-09-30,65,0,2.6,0,2025-12-10
1,28,2000-09-30,86,0,2.8667,0,2025-12-10
1,30,2000-09-30,156,0,2.1667,0,2025-12-10
1,2,2000-10-31,1,0,0.0357,0,2025-12-10
1,4,2000-10-31,1,0,0.1333,0,2025-12-10
1,7,2000-10-31,111,0,2.4667,0,2025-12-10
1,9,2000-10-31,1,0,0.0114,0,2025-12-10
1,12,2000-10-31,2,0,0.0625,0,2025-12-10
1,19,2000-10-31,3,0,0.0698,0,2025-12-10
1,20,2000-10-31,9,0,0.2571,0,2025-12-10
1,21,2000-10-31,4,0,0.0741,0,2025-12-10
1,25,2000-10-31,4,0,0.1481,0,2025-12-10
1,26,2000-10-31,96,0,3.84,0,2025-12-10
1,27,2000-10-31,1,0,0.05,0,2025-12-10
1,28,2000-10-31,44,0,1.4667,0,2025-12-10
1,30,2000-10-31,57,0,0.7917,0,2025-12-10
1,2,2000-11-30,1,0,0.0357,0,2025-12-10
1,4,2000-11-30,2,0,0.2667,0,2025-12-10
1,7,2000-11-30,65,0,1.4444,0,2025-12-10
1,12,2000-11-30,1,0,0.0312,0,2025-12-10
1,19,2000-11-30,3,0,0.0698,0,2025-12-10
1,20,2000-11-30,9,0,0.2571,0,2025-12-10
1,21,2000-11-30,4,0,0.0741,0,2025-12-10
1,26,2000-11-30,44,0,1.76,0,2025-12-10
1,27,2000-11-30,1,0,0.05,0,2025-12-10
1,28,2000-11-30,30,0,1.0,0,2025-12-10
1,30,2000-11-30,21,0,0.2917,0,2025-12-10
1,7,2000-12-31,15,0,0.3333,0,2025-12-10
1,12,2000-12-31,3,0,0.0938,0,2025-12-10
1,20,2000-12-31,9,0,0.2571,0,2025-12-10
1,26,2000-12-31,5,0,0.2,0,2025-12-10
1,27,2000-12-31,1,0,0.05,0,2025-12-10
1,28,2000-12-31,5,0,0.1667,0,2025-12-10
1,30,2000-12-31,15,0,0.2083,0,2025-12-10
1,7,2001-01-31,3,0,0.0667,0,2025-12-10
1,9,2001-01-31,1,0,0.0114,0,2025-12-10
1,27,2001-01-31,1,0,0.05,0,2025-12-10
1,28,2001-01-31,2,0,0.0667,0,2025-12-10
1,30,2001-01-31,3,0,0.0417,0,2025-12-10
1,7,2001-02-28,6,0,0.1333,0,2025-12-10
1,19,2001-02-28,1,0,0.0233,0,2025-12-10
1,25,2001-02-28,1,0,0.037,0,2025-12-10
1,28,2001-02-28,1,0,0.0333,0,2025-12-10
1,30,2001-02-28,15,0,0.2083,0,2025-12-10
1,7,2001-03-31,11,0,0.2444,0,2025-12-10
1,20,2001-03-31,1,0,0.0286,0,2025-12-10
1,25,2001-03-31,2,0,0.0741,0,2025-12-10
1,28,2001-03-31,1,0,0.0333,0,2025-12-10
1,30,2001-03-31,6,0,0.0833,0,2025-12-10
1,7,2001-04-30,1,0,0.0222,0,2025-12-10
1,19,2001-04-30,2,0,0.0465,0,2025-12-10
1,20,2001-04-30,2,0,0.0571,0,2025-12-10
1,21,2001-04-30,3,0,0.0556,0,2025-12-10
1,25,2001-04-30,1,0,0.037,0,2025-12-10
1,27,2001-04-30,1,0,0.05,0,2025-12-10
1,28,2001-04-30,3,0,0.1,0,2025-12-10
1,30,2001-04-30,6,0,0.0833,0,2025-12-10
1,7,2001-05-31,14,0,0.3111,0,2025-12-10
1,12,2001-05-31,1,0,0.0312,0,2025-12-10
1,19,2001-05-31,2,0,0.0465,0,2025-12-10
1,20,2001-05-31,5,0,0.1429,0,2025-12-10
1,23,2001-05-31,1,0,0.0833,0,2025-12-10
1,27,2001-05-31,2,0,0.1,0,2025-12-10
1,28,2001-05-31,11,0,0.3667,0,2025-12-10
1,30,2001-05-31,62,0,0.8611,0,2025-12-10
1,7,2001-06-30,22,0,0.4889,0,2025-12-10
1,12,2001-06-30,22,0,0.6875,0,2025-12-10
1,19,2001-06-30,4,0,0.093,0,2025-12-10
1,20,2001-06-30,7,0,0.2,0,2025-12-10
