FECHA,casos_confirmados,Prediccion_Lineal,Error_Lineal,Prediccion_Polinomica,Error_Polinomica
2024-01-01,663,-229.37304006968623,892.3730400696862,623.988084688689,39.011915311310986
2024-01-02,563,-218.34906252284284,781.3490625228428,617.1093812965458,54.10938129654585
2024-01-03,554,-207.32508497599943,761.3250849759994,610.3563107530972,56.356310753097205
2024-01-04,548,-196.30110742915605,744.301107429156,603.7288730583432,55.7288730583432
2024-01-05,598,-185.27712988231264,783.2771298823127,597.2270682122839,0.7729317877160611
2024-01-06,642,-174.25315233546922,816.2531523354692,590.8508962149192,51.1491037850808
2024-01-07,656,-163.22917478862584,819.2291747886259,584.6003570662492,71.39964293375078
2024-01-08,752,-152.20519724178246,904.2051972417825,578.4754507662739,173.52454923372613
2024-01-09,626,-141.18121969493905,767.181219694939,572.476177314993,53.52382268500696
2024-01-10,615,-130.15724214809563,745.1572421480956,566.602536712407,48.39746328759304
2024-01-11,596,-119.13326460125225,715.1332646012522,560.8545289585155,35.145471041484484
2024-01-12,650,-108.10928705440884,758.1092870544088,555.2321540533187,94.76784594668129
2024-01-13,638,-97.08530950756546,735.0853095075654,549.7354119968165,88.26458800318346
2024-01-14,729,-86.06133196072204,815.0613319607221,544.364302789009,184.635697210991
2024-01-15,828,-75.03735441387866,903.0373544138787,539.1188264298961,288.8811735701039
2024-01-16,662,-64.01337686703525,726.0133768670353,533.9989829194778,128.00101708052216
2024-01-17,554,-52.989399320191836,606.9893993201919,529.0047722577542,24.99522774224579
2024-01-18,613,-41.96542177334845,654.9654217733485,524.1361944447252,88.86380555527478
2024-01-19,655,-30.94144422650504,685.941444226505,519.3932494803909,135.60675051960914
2024-01-20,758,-19.917466679661658,777.9174666796616,514.7759373647513,243.22406263524874
2024-01-21,767,-8.893489132818246,775.8934891328182,510.2842580978062,256.7157419021938
2024-01-22,758,2.1304884140251374,755.8695115859748,505.9182116795558,252.08178832044422
2024-01-23,635,13.15446596086855,621.8455340391315,501.67779811,133.32220188999997
2024-01-24,574,24.17844350771196,549.821556492288,497.5630173891389,76.4369826108611
2024-01-25,550,35.20242105455537,514.7975789454447,493.5738695169724,56.42613048302758
2024-01-26,582,46.22639860139873,535.7736013986013,489.71035449350063,92.28964550649937
2024-01-27,573,57.25037614824214,515.7496238517579,485.9724723187234,87.02752768127658
2024-01-28,687,68.27435369508555,618.7256463049144,482.36022299264084,204.63977700735916
2024-01-29,703,79.29833124192896,623.701668758071,478.87360651525296,224.12639348474704
2024-01-30,582,90.32230878877232,491.6776912112277,475.5126228865597,106.48737711344029
2024-01-31,471,101.34628633561573,369.65371366438427,472.2772721065611,1.2772721065610995
