FECHA,casos_confirmados,X,Prediccion_Lineal,Prediccion_Polinomica,Error_Lineal,Error_Polinomica
2024-01-01,663,1,-229.37304006968623,623.988084688689,892.3730400696862,39.011915311310986
2024-01-02,563,2,-218.34906252284284,617.1093812965458,781.3490625228428,54.10938129654585
2024-01-03,554,3,-207.32508497599943,610.3563107530972,761.3250849759994,56.356310753097205
2024-01-04,548,4,-196.30110742915605,603.7288730583432,744.301107429156,55.7288730583432
2024-01-05,598,5,-185.27712988231264,597.2270682122839,783.2771298823127,0.7729317877160611
2024-01-06,642,6,-174.25315233546922,590.8508962149192,816.2531523354692,51.1491037850808
2024-01-07,656,7,-163.22917478862584,584.6003570662492,819.2291747886259,71.39964293375078
2024-01-08,752,8,-152.20519724178246,578.4754507662739,904.2051972417825,173.52454923372613
2024-01-09,626,9,-141.18121969493905,572.476177314993,767.181219694939,53.52382268500696
2024-01-10,615,10,-130.15724214809563,566.602536712407,745.1572421480956,48.39746328759304
2024-01-11,596,11,-119.13326460125225,560.8545289585155,715.1332646012522,35.145471041484484
2024-01-12,650,12,-108.10928705440884,555.2321540533187,758.1092870544088,94.76784594668129
2024-01-13,638,13,-97.08530950756546,549.7354119968165,735.0853095075654,88.26458800318346
2024-01-14,729,14,-86.06133196072204,544.364302789009,815.0613319607221,184.635697210991
2024-01-15,828,15,-75.03735441387866,539.1188264298961,903.0373544138787,288.8811735701039
2024-01-16,662,16,-64.01337686703525,533.9989829194778,726.0133768670353,128.00101708052216
2024-01-17,554,17,-52.989399320191836,529.0047722577542,606.9893993201919,24.99522774224579
2024-01-18,613,18,-41.96542177334845,524.1361944447252,654.9654217733485,88.86380555527478
2024-01-19,655,19,-30.94144422650504,519.3932494803909,685.941444226505,135.60675051960914
2024-01-20,758,20,-19.917466679661658,514.7759373647513,777.9174666796616,243.22406263524874
2024-01-21,767,21,-8.893489132818246,510.2842580978062,775.8934891328182,256.7157419021938
2024-01-22,758,22,2.1304884140251374,505.9182116795558,755.8695115859748,252.08178832044422
2024-01-23,635,23,13.15446596086855,501.67779811,621.8455340391315,133.32220188999997
2024-01-24,574,24,24.17844350771196,497.5630173891389,549.821556492288,76.4369826108611
2024-01-25,550,25,35.20242105455537,493.5738695169724,514.7975789454447,56.42613048302758
2024-01-26,582,26,46.22639860139873,489.71035449350063,535.7736013986013,92.28964550649937
2024-01-27,573,27,57.25037614824214,485.9724723187234,515.7496238517579,87.02752768127658
2024-01-28,687,28,68.27435369508555,482.36022299264084,618.7256463049144,204.63977700735916
2024-01-29,703,29,79.29833124192896,478.87360651525296,623.701668758071,224.12639348474704
2024-01-30,582,30,90.32230878877232,475.5126228865597,491.6776912112277,106.48737711344029
2024-01-31,471,31,101.34628633561573,472.2772721065611,369.65371366438427,1.2772721065610995
2024-02-01,452,32,112.37026388245914,469.1675541752571,339.62973611754086,17.167554175257123
2024-02-02,457,33,123.39424142930255,466.1834690926478,333.60575857069745,9.183469092647783
2024-02-03,468,34,134.41821897614597,463.3250168587331,333.58178102385403,4.674983141266921
2024-02-04,474,35,145.44219652298932,460.592197473513,328.5578034770107,13.40780252648699
2024-02-05,538,36,156.46617406983273,457.98501093698763,381.53382593016727,80.01498906301237
2024-02-06,550,37,167.49015161667614,455.5034572491569,382.50984838332386,94.4965427508431
2024-02-07,497,38,178.51412916351956,453.14753641002073,318.48587083648044,43.852463589979266
